,index,Task,Title,Task_detailed
0,0,Cut and trim meat to prepare for packing.,"Meat, Poultry, and Fish Cutters and Trimmers","Cut and trim meat to prepare for packing. However, this does not include inspecting meat for defects, producing ground meat, or preparing ready-to-heat foods. The task is limited to the physical cutting and trimming of meat prior to packaging."
1,1,Examine patient to obtain information on medical condition and surgical risk.,"Orthopedic Surgeons, Except Pediatric","Examine patient to obtain information on medical condition and surgical risk. However, this does not include diagnosing disorders, prescribing treatments, or performing surgical procedures. The task is limited to the initial physical assessment and gathering relevant patient information prior to further medical evaluation."
2,2,Confer with engineering personnel regarding details and implications of test procedures and results.,Aerospace Engineering and Operations Technologists and Technicians,"Confer with engineering personnel regarding details and implications of test procedures and results. However, this does not include performing the physical setup, operation, or maintenance of test equipment and facilities. The task is limited to communication and interpretation of test-related information rather than hands-on technical work."
3,3,"Perform administrative or business management tasks, such as scheduling appointments, accepting payments from clients, budgeting, or maintaining business records.",Veterinarians,"Perform administrative or business management tasks, such as scheduling appointments, accepting payments from clients, budgeting, or maintaining business records. However, this does not include clinical duties such as diagnosing, treating, or performing medical procedures on animals. These tasks are limited to the operational and financial aspects of running a veterinary practice."
4,4,"Develop or administer special projects in areas such as pay equity, savings bond programs, day care, and employee awards.",Human Resources Managers,"Develop or administer special projects in areas such as pay equity, savings bond programs, day care, and employee awards. However, this does not include routine administration of compensation, benefits, or performance management systems. The focus is on unique or one-time initiatives rather than ongoing personnel management functions."
5,5,Give directions to crew members engaged in cleaning wheelhouses or quarterdecks.,Sailors and Marine Oilers,"Give directions to crew members engaged in cleaning wheelhouses or quarterdecks. However, this does not include performing the actual cleaning or maintenance tasks. It is limited to providing instructions and coordinating the cleaning activities."
6,6,"Collaborate with graphic artists, editors and writers to produce master copies according to design specifications.",Desktop Publishers,"Collaborate with graphic artists, editors and writers to produce master copies according to design specifications. However, this does not include operating desktop publishing software, making corrections to proofs, or preparing final layouts for printing. The focus is solely on coordinating and integrating input from various contributors to ensure the master copy meets the intended design requirements."
7,7,Prepare evidence for presentation in court.,"Fraud Examiners, Investigators and Analysts","Prepare evidence for presentation in court. However, this does not include the actual testimony or legal argumentation during court proceedings. The task is limited to organizing and compiling evidence in a clear and admissible format for use by legal professionals."
8,8,Monitor emission control devices to ensure they are operating properly and comply with state and federal regulations.,"Environmental Science and Protection Technicians, Including Health","Monitor emission control devices to ensure they are operating properly and comply with state and federal regulations. However, this does not include collecting samples, analyzing test data, or preparing reports related to emissions. The task is limited to the operational monitoring and compliance verification of emission control equipment."
9,9,"Treat deformities using mechanical methods, such as whirlpool or paraffin baths, and electrical methods, such as short wave and low voltage currents.",Podiatrists,"Treat deformities using mechanical methods, such as whirlpool or paraffin baths, and electrical methods, such as short wave and low voltage currents. However, this does not include surgical interventions or the prescription of medications and corrective devices. These treatments are limited to non-invasive therapeutic modalities aimed at improving foot and ankle conditions."
10,10,Monitor and record switchboard or control board readings to ensure that electrical or steam distribution equipment is operating properly.,Power Distributors and Dispatchers,"Monitor and record switchboard or control board readings to ensure that electrical or steam distribution equipment is operating properly. However, this does not include controlling, adjusting, or responding to equipment operations or emergencies. The task is limited to observation and documentation of equipment status."
11,11,Maintain quality of pool water by testing chemical levels.,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Maintain quality of pool water by testing chemical levels. However, this does not include performing rescues, administering first aid, or monitoring recreational areas for safety. The task is limited to chemical testing and does not involve emergency response or facility supervision."
12,12,"Confer with other staff members to plan, schedule, or conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.","Special Education Teachers, Kindergarten","Confer with other staff members to plan, schedule, or conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate. However, this does not include administering tests, developing individual educational plans, or managing classroom behavior. The focus is solely on collaborative planning and organizing instructional activities."
13,13,"Design or supervise the installation of sprinkler systems, calculating water pressure, or valve and pipe coverage needs.","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","Design or supervise the installation of sprinkler systems, calculating water pressure, or valve and pipe coverage needs. However, this does not include performing routine maintenance or repairs on existing sprinkler systems. The focus is on planning and oversight rather than hands-on installation or troubleshooting."
14,14,"Recruit, interview, and hire or sign up volunteers and staff.",Social and Community Service Managers,"Recruit, interview, and hire or sign up volunteers and staff. However, this does not include managing or evaluating their ongoing work performance or directing their daily activities. This task is limited to the initial recruitment and hiring process only."
15,15,Select and schedule class times to ensure maximum attendance.,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Select and schedule class times to ensure maximum attendance. However, this does not include developing curriculum content or managing student assessments. The focus is solely on organizing class schedules to optimize student participation."
16,16,"Write grants to procure external funding, and supervise grant-funded projects.","Education Administrators, Postsecondary","Write grants to procure external funding, and supervise grant-funded projects. However, this does not include managing general institutional budgets or overseeing personnel unrelated to grant-funded initiatives. The focus is specifically on securing and administering external grant resources."
17,17,"Drill, countersink, and ream holes in parts and assemblies for bolts, screws, and other fasteners, using power tools.","Model Makers, Metal and Plastic","Drill, countersink, and ream holes in parts and assemblies for bolts, screws, and other fasteners, using power tools. However, this does not include setting up or operating the machines used for these processes or assembling the parts after drilling. The task is limited solely to performing the hole-making operations."
18,18,Interpret aerial or ortho photographs.,Geographic Information Systems Technologists and Technicians,"Interpret aerial or ortho photographs. However, this does not include producing maps, databases, or reports based on the interpreted images. The task is limited to analyzing and understanding the content of the photographs without further data processing or GIS application development."
19,19,"Compile reports, charts, or graphs that describe and interpret findings of analyses.",Statistical Assistants,"Compile reports, charts, or graphs that describe and interpret findings of analyses. However, this does not include performing the initial data collection, coding, or statistical testing. The task focuses solely on presenting and explaining the results derived from completed analyses."
20,20,Prepare trial balances of books.,"Bookkeeping, Accounting, and Auditing Clerks","Prepare trial balances of books. However, this does not include preparing payroll information, processing payments, or reconciling bank transactions. The task is limited to compiling and verifying the accuracy of ledger balances to ensure that total debits equal total credits."
21,21,"Answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.","Switchboard Operators, Including Answering Service","Answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary. However, this does not include performing administrative duties, handling cash, monitoring alarms, or managing visitor access. The focus is solely on managing telephone communications."
22,22,"Cut, miter, and glue piping insulation to insulate plumbing pipes and fittings.",Solar Thermal Installers and Technicians,"Cut, miter, and glue piping insulation to insulate plumbing pipes and fittings. However, this does not include installing plumbing, connecting water heaters, or performing repairs on solar thermal system components. The task is limited to preparing and applying insulation materials to existing pipes and fittings."
23,23,Drill holes in marble or ornamental stone and anchor brackets in holes.,Stonemasons,"Drill holes in marble or ornamental stone and anchor brackets in holes. However, this does not include shaping, cutting, setting, or finishing the stone surfaces. The task is limited to creating holes and securing brackets only."
24,24,Maintain clean lobbies or entrance areas for travelers or guests.,Baggage Porters and Bellhops,"Maintain clean lobbies or entrance areas for travelers or guests. However, this does not include cleaning guest rooms, handling luggage, or providing guest services such as delivering messages or escorting guests. The focus is solely on keeping public lobby and entrance spaces tidy and presentable."
25,25,"Review lists of dealers, customers, or station drops and load trucks.",Driver/Sales Workers,"Review lists of dealers, customers, or station drops and load trucks. However, this does not include handling financial transactions, resolving customer complaints, or selling products directly. This task is limited to verifying delivery or pickup points and physically loading items onto vehicles."
26,26,Evaluate new software publishing systems and confer with regulatory agencies concerning news or updates on electronic publishing of submissions.,Regulatory Affairs Managers,"Evaluate new software publishing systems and confer with regulatory agencies concerning news or updates on electronic publishing of submissions. However, this does not include the preparation, submission, or review of regulatory documents or the development and implementation of regulatory policies and procedures. The focus is solely on assessing publishing technologies and maintaining communication regarding electronic submission standards."
27,27,Formulate or modify recipes for specific kinds of food products.,Food Batchmakers,"Formulate or modify recipes for specific kinds of food products. However, this does not include operating equipment, measuring ingredients, or performing quality control tests during the production process. These activities are separate from the development and adjustment of recipe formulations."
28,28,Retouch photographic negatives or original prints to correct defects.,Photographic Process Workers and Processing Machine Operators,"Retouch photographic negatives or original prints to correct defects. However, this does not include creating prints, operating processing machines, or performing chemical mixing and maintenance tasks. The focus is solely on manual or digital retouching to improve image quality."
29,29,"Research computerized automotive applications, such as telemetrics, intelligent transportation systems, artificial intelligence, or automatic control.",Automotive Engineers,"Research computerized automotive applications, such as telemetrics, intelligent transportation systems, artificial intelligence, or automatic control. However, this does not include routine design, testing, calibration, or documentation tasks related to these systems. The focus is solely on exploratory research and development of novel computerized automotive technologies."
30,30,"Post charges, such as those for rooms, food, liquor, or telephone calls, to ledgers, manually or by using computers.","Hotel, Motel, and Resort Desk Clerks","Post charges, such as those for rooms, food, liquor, or telephone calls, to ledgers, manually or by using computers. However, this does not include computing bills, collecting payments, or making change for guests. The task is limited to recording charges and does not involve financial transactions or guest interactions beyond posting charges."
31,31,"Dress and otherwise finish boots or shoes, as by trimming the edges of new soles and heels to the shoe shape.",Shoe and Leather Workers and Repairers,"Dress and otherwise finish boots or shoes, as by trimming the edges of new soles and heels to the shoe shape. However, this does not include attaching soles or heels, repairing damaged parts, or decorating the footwear. The task is limited to shaping and finishing the edges to achieve a clean and precise fit."
32,32,Rebuild gas or diesel engines.,Bus and Truck Mechanics and Diesel Engine Specialists,"Rebuild gas or diesel engines. However, this does not include routine maintenance, diagnostic testing, or repair of individual engine components without complete engine disassembly and reassembly. This task focuses solely on the comprehensive overhaul and reconstruction of entire engines."
33,33,Prepare and place meat cuts and products in display counter to appear attractive and catch the shopper's eye.,Butchers and Meat Cutters,"Prepare and place meat cuts and products in display counter to appear attractive and catch the shopper's eye. However, this does not include wrapping, weighing, labeling, pricing, cutting, or processing the meat. The task is limited to arranging and presenting the meat products for visual appeal only."
34,34,Replace valve stems and remove puncturing objects.,Tire Repairers and Changers,"Replace valve stems and remove puncturing objects. However, this does not include sealing punctures, patching tubes, or balancing wheels. The task is limited to the removal and replacement of valve stems and extraction of objects causing punctures."
35,35,"Activate machines to shape or form products, such as candy bars, light bulbs, balloons, or insulation panels.","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Activate machines to shape or form products, such as candy bars, light bulbs, balloons, or insulation panels. However, this does not include adjusting machine components, measuring materials, or performing maintenance and cleaning tasks. The focus is solely on initiating machine operations to begin the shaping or forming process."
36,36,Furnish change persons with a money bank at the start of each shift.,Gambling Change Persons and Booth Cashiers,"Furnish change persons with a money bank at the start of each shift. However, this does not include exchanging money, credit, tickets, or casino chips with customers or performing any auditing or record-keeping duties. The task is limited to providing the initial cash bank and does not involve handling transactions during the shift."
37,37,Train employees on organizations' timekeeping systems.,Payroll and Timekeeping Clerks,"Train employees on organizations' timekeeping systems. However, this does not include processing employee paperwork, computing wages, or handling payroll tax returns. The focus is solely on instructing employees in the proper use of timekeeping tools and procedures."
38,38,Observe pictures through monitors and direct camera and video staff concerning shading and composition.,Media Technical Directors/Managers,"Observe pictures through monitors and direct camera and video staff concerning shading and composition. However, this does not include operating equipment, scheduling, or managing technical policies related to broadcasts. The focus is solely on visual aspects such as shading and composition during production."
39,39,"Establish practice guidelines for specialty areas such as primary health care of women, care of the childbearing family, and newborn care.",Nurse Midwives,"Establish practice guidelines for specialty areas such as primary health care of women, care of the childbearing family, and newborn care. However, this does not include direct patient care, documentation, or educational activities. The focus is solely on developing overarching protocols and standards for clinical practice within these specialty areas."
40,40,"Read work orders to determine dimensions, cutting locations, and quantities to cut.","Cutters and Trimmers, Hand","Read work orders to determine dimensions, cutting locations, and quantities to cut. However, this does not include physically marking, cutting, trimming, or handling the materials. It solely involves interpreting and understanding the specifications provided in the work orders."
41,41,"Evaluate vulnerability assessments of local computing environments, networks, infrastructures, or enclave boundaries.",Penetration Testers,"Evaluate vulnerability assessments of local computing environments, networks, infrastructures, or enclave boundaries. However, this does not include conducting physical security assessments, performing penetration tests, or developing security solutions. The focus is solely on analyzing existing vulnerability assessment reports to identify potential security gaps."
42,42,Consult with other professionals about patients' neurological conditions.,Neuropsychologists,"Consult with other professionals about patients' neurological conditions. However, this does not include conducting formal neuropsychological evaluations, diagnosing conditions, or designing rehabilitation plans. The consultation is limited to collaborative discussions and information sharing to support patient care."
43,43,"Perform tests and monitor performance of processes throughout stages of production to determine degree of control over variables such as temperature, density, specific gravity, and pressure.",Chemical Engineers,"Perform tests and monitor performance of processes throughout stages of production to determine degree of control over variables such as temperature, density, specific gravity, and pressure. However, this does not include troubleshooting process problems, designing equipment layouts, or developing new chemical manufacturing processes. The focus is solely on monitoring and testing existing production stages to assess control over key variables."
44,44,"Attach test instruments to equipment, and read dials and gauges to diagnose malfunctions.",Bus and Truck Mechanics and Diesel Engine Specialists,"Attach test instruments to equipment, and read dials and gauges to diagnose malfunctions. However, this does not include performing repairs, adjustments, or maintenance based on the diagnostic results. The task is limited to the initial diagnostic process using test instruments."
45,45,"Move containers of mail, using equipment, such as forklifts and automated ""trains"".","Postal Service Mail Sorters, Processors, and Processing Machine Operators","Move containers of mail, using equipment, such as forklifts and automated ""trains"". However, this does not include sorting, labeling, or routing mail items. The task is limited to the physical movement of mail containers within the facility."
46,46,Direct and coordinate the activities of staff and contract personnel and evaluate their performance.,"Property, Real Estate, and Community Association Managers","Direct and coordinate the activities of staff and contract personnel and evaluate their performance. However, this does not include managing property maintenance, financial transactions, tenant relations, or negotiating contracts. The focus is solely on overseeing personnel and assessing their work effectiveness."
47,47,"Perform various data entry or word processing tasks, such as updating phone directories, typing or proofreading documents, or creating schedules.","Switchboard Operators, Including Answering Service","Perform various data entry or word processing tasks, such as updating phone directories, typing or proofreading documents, or creating schedules. However, this does not include handling communications, managing security protocols, or processing financial transactions. These tasks are limited to clerical data management and document preparation only."
48,48,"Approve loans within specified limits, and refer loan applications outside those limits to management for approval.",Loan Officers,"Approve loans within specified limits, and refer loan applications outside those limits to management for approval. However, this does not include analyzing applicants' financial status, counseling clients on financial problems, or handling delinquent accounts. The task is limited to decision-making within set authority levels and does not involve broader financial advisory or collection responsibilities."
49,49,"Formulate pricing policies for merchandise, according to profitability requirements.",First-Line Supervisors of Retail Sales Workers,"Formulate pricing policies for merchandise, according to profitability requirements. However, this does not include setting individual product prices or handling day-to-day price adjustments. The task focuses on developing overarching pricing strategies rather than operational pricing decisions."
